,name,gender
1838,adheesha,2
1839,adhel,1
1840,adhem,2
1841,adhill,2
1842,adhira,1
1843,adhiraj,2
1844,adhithi,1
1845,adhithya,2
1846,adhiti,1
1847,adhitya,2
1848,adhley,1
1849,adhnan,2
1850,adhora,1
1851,adhrith,2
1852,adhukwut,2
1853,adhum,2
1854,adhwaidh,2
1858,adolph,0
1859,adia,1
1861,adiah,1
1862,adiak,1
1863,adianca,1
1864,adiane,2
1865,adianez,1
1866,adibah,1
1867,adidas,2
1868,adiel,2
1869,aky,2
1870,adiela,1
1871,adielle,1
1872,adielleen,1
1873,adiena,1
1874,adifaah,1
1875,adigun,2
1876,adijah,1
1877,adijona,1
1878,adika,2
1879,adiki,1
1880,adikuor,1
1881,adil,2
1882,rizwan,2
1883,adilane,1
1884,adilbek,2
1885,adile,1
1886,adileena,1
1887,adileigh,1
1888,adilen,1
1889,adilena,1
1890,adilene,1
1891,adileni,1
1892,adilenne,1
1893,adileny,1
1894,adiley,1
1895,adilio,2
1896,adilkhan,2
1897,adilliya,1
1898,adilyah,1
1899,adinda,1
1900,adinel,2
1901,adinna,1
1902,adion,1
1903,adione,1
1904,adionyse,2
1905,adiqa,1
1906,adira,1
1907,adiraica,1
1908,adiraj,2
1909,adishri,1
1910,adisri,1
1911,adissyn,1
1912,adisynn,1
1913,aditree,1
1914,aditto,2
1915,adityabir,2
1916,adiv,2
1917,adiy,2
1918,adiyaan,2
1919,adiyah,1
1920,adiyam,1
1921,adiyat,2
1922,adiza,1
1923,adjala,1
1924,adjanaye,1
1925,adjani,0
1926,adjantha,1
1927,adje,1
1928,adjevi,2
1929,adji,1
1930,adjiot,2
1931,adjrian,2
1932,adjua,1
1933,adjuto,2
1934,adl,2
1935,adla,1
1936,adlane,2
1937,adlar,2
1938,adlean,1
1939,adlei,1
1940,adlemi,1
